video_id,title,view_count,like_count,comment_count,loyalty_rate,engagement_index,avg_reply_depth,controversy_score
SxEk3FUKWZY,Ai generated video look like real | baby boy fighting with rooster #ai #cute #foryou #shorts,1238091,8450,1025,0.04,0.0034327040581023528,1.0,0.06666666666666668
ScGYeJeY6BA,A group of cute babies Dancing in Public | ai animated video #cutebabies #ai,17700538,153140,3537,0.02,0.004327269600505928,1.0,0.0
Yb2I77FnZgE,Experience The Simpsons in a Whole New Light with Midjourney! #shorts #simpsons #midjourney,2848,69,0,0.0,0.01211376404494382,0.0,0.0
Uvmp0hwYr9I,reviewing the AI generated action figure trend #aiart,3681538,102962,700,0.02,0.013990348598873622,0.06818181818181818,0.06
m3ouUSfFXG8,Crying Baby Gets the Cutest Help 😭 | Funny Ai Animated Shorts #cute #cutebabies,37242786,267710,3687,0.02,0.003594790142713813,0.8846153846153846,0.0
Ntsxp0r5hjU,AI Will Smith eating spaghetti 2024🍝 #ai #shorts,1218374,16151,392,0.02,0.006648615285618373,0.02040816326530612,0.0
lR31TlISgM4,🌎 Countries as Supergirl 🦸‍♀️ #ai #midjourney #shorts,29634,1837,69,0.0,0.03183842883174732,0.13953488372093023,0.026666666666666672
Yh0WmY6IWps,"How I Earned $5,000 in 5 Days with AI-Generated YouTube Shorts!",273260,9947,461,0.12,0.01829210275927688,0.27586206896551724,0.056
5lhrxXu_Gc4,AI Generated Baby Talk Video #aigenerated #funny #babytalk #ai #shorts #shortsfeed #viral l,456395,4323,74,0.02,0.004790806209533409,0.09302325581395349,0.0
YDbY9TTjv_w,Orange cat fight with a shark. Ai cartoon orange fat cat funny video,17832058,103507,679,0.06,0.0029036749431837873,0.022222222222222223,0.0
xJLnWn7hge8,Vladimir Putin meeting with Trump ai generated video| ai world leaders #ai #shorts #putin #trump,12421947,150520,2451,0.08,0.0060606441164174985,0.02040816326530612,0.026666666666666672
DUBWZxHlwoA,Original Vs AI #dance @VibesofAI,11605246,121844,722,0.0,0.005251676698624053,0.02040816326530612,0.0
7vIIJ27poiM,AI imagines COUNTRIES as SUPER WOMAN #midjourney #midjourneyai #midjourneyart #viralvideo #ai,4059533,126546,2407,0.04,0.01559243390803819,0.0,0.056
cueClFR-mNk,Ai animated orange cat funny cartoon video 😹💥  White tiger Cubs Taken by a Fat Cat!?,21963638,140749,1681,0.08,0.003205275009540769,0.0,0.025
